"","X","year","month","day","hour","TemperatureF","Dew_PointF","Humidity","Sea_Level_PressureIn","VisibilityMPH","Wind_Direction","Wind_SpeedMPH","Conditions","WindDirDegrees","Date","DayofWeek","Weekday","Peakhour","Temperature","newlm.fit"
"1",1,"2016","10","1","0",57.9,57,97,30.35,10,"NE",15,"Light Rain","50","10/1/2016","6","0","0",14.4,47.995154060431
"2",2,"2016","10","1","0",57.9,57,97,30.34,10,"NE",15,"Overcast","50","10/1/2016","6","0","0",14.4,51.004605721608
"3",3,"2016","10","1","0",57.9,57,97,30.34,6,"NE",18.4,"Light Rain","50","10/1/2016","6","0","0",14.4,48.0918181421823
"4",4,"2016","10","1","1",57.9,57,97,30.34,2.5,"NE",19.6,"Rain","50","10/1/2016","6","0","0",14.4,52.5666443183527
"5",5,"2016","10","1","1",57.9,57,97,30.34,3,"NE",18.4,"Light Rain","50","10/1/2016","6","0","0",14.4,48.2793319173818
"6",6,"2016","10","1","1",57.9,57,97,30.33,2.5,"NE",16.1,"Heavy Rain","50","10/1/2016","6","0","0",14.4,44.1747882435905
"7",7,"2016","10","1","2",57.9,57,97,30.33,4,"ENE",18.4,"Light Rain","60","10/1/2016","6","0","0",14.4,66.4483838994948
"8",8,"2016","10","1","2",57.9,57,97,30.33,4,"NE",17.3,"Light Rain","50","10/1/2016","6","0","0",14.4,49.9481568222023
"9",9,"2016","10","1","2",57.9,57,97,30.32,6,"NE",17.3,"Light Rain","50","10/1/2016","6","0","0",14.4,50.0362747562615
"10",10,"2016","10","1","2",57.9,57,97,30.31,5,"NE",16.1,"Light Rain","50","10/1/2016","6","0","0",14.4,50.1347686653214
"11",11,"2016","10","1","3",57,57,100,30.31,3,"NE",19.6,"Light Rain","50","10/1/2016","6","0","0",13.9,47.0010840094921
"12",12,"2016","10","1","3",57,57,100,30.3,4,"NE",18.4,"Light Rain","50","10/1/2016","6","0","0",13.9,47.0943441608241
"13",13,"2016","10","1","4",57,57,100,30.3,6,"NE",18.4,"Light Rain","50","10/1/2016","6","0","0",13.9,56.1770863309347
"14",14,"2016","10","1","4",57,57,100,30.3,2.5,"NE",15,"Light Rain","50","10/1/2016","6","0","0",13.9,56.1934005324501
"15",15,"2016","10","1","5",57,57,100,30.3,4,"NE",17.3,"Light Rain","50","10/1/2016","6","0","0",13.9,63.517835706643
"16",16,"2016","10","1","5",57,57,100,30.31,2.5,"NE",18.4,"Light Rain","50","10/1/2016","6","0","0",13.9,63.4260944396104
"17",17,"2016","10","1","6",57,57,100,30.31,3,"NE",16.1,"Light Rain","40","10/1/2016","6","0","0",13.9,148.563231875942
"18",18,"2016","10","1","6",57,57,100,30.31,2.5,"NE",13.8,"Light Rain","40","10/1/2016","6","0","0",13.9,148.569380547324
"19",19,"2016","10","1","6",57,57,100,30.31,3,"NE",17.3,"Light Rain","40","10/1/2016","6","0","0",13.9,148.560706537533
"20",20,"2016","10","1","6",57,57,100,30.3,4,"NE",15,"Light Rain","40","10/1/2016","6","0","0",13.9,148.656281582406
"21",21,"2016","10","1","7",55.9,55.9,100,30.31,2,"NE",13.8,"Heavy Rain","40","10/1/2016","6","0","1",13.3,198.629671644053
"22",22,"2016","10","1","7",55.9,55.9,100,30.31,2.5,"NE",12.7,"Heavy Rain","40","10/1/2016","6","0","1",13.3,198.630678098162
"23",23,"2016","10","1","8",55.9,55.9,100,30.31,4,"NNE",16.1,"Light Rain","30","10/1/2016","6","0","1",13.3,213.674764282571
"24",24,"2016","10","1","8",55.9,55.9,100,30.31,4,"NNE",15,"Heavy Rain","30","10/1/2016","6","0","1",13.3,209.473035139152
"25",25,"2016","10","1","8",55.9,55.9,100,30.31,2.5,"NNE",16.1,"Rain","30","10/1/2016","6","0","1",13.3,217.967218900814
"26",26,"2016","10","1","9",55.9,55.9,100,30.31,3,"NE",16.1,"Rain","40","10/1/2016","6","0","1",13.3,226.919935024282
"27",27,"2016","10","1","9",55.9,55.9,100,30.3,3,"NNE",16.1,"Light Rain","30","10/1/2016","6","0","1",13.3,219.257985120393
"28",28,"2016","10","1","10",57,55.9,96,30.29,8,"NNE",15,"Light Rain","30","10/1/2016","6","0","1",13.9,223.983599954296
"29",29,"2016","10","1","10",57,57,100,30.29,5,"NE",16.1,"Overcast","40","10/1/2016","6","0","1",13.9,227.609378144623
"30",30,"2016","10","1","11",57,57,100,30.29,5,"NNE",15,"Overcast","30","10/1/2016","6","0","1",13.9,221.926906833399
"31",31,"2016","10","1","11",57.9,57,97,30.28,2.5,"NNE",13.8,"Light Drizzle","30","10/1/2016","6","0","1",14.4,221.383331323444
"32",32,"2016","10","1","12",57.9,57.9,100,30.27,1.5,"NE",13.8,"Light Rain","40","10/1/2016","6","0","1",14.4,225.008183598058
"33",33,"2016","10","1","12",57.9,57.9,100,30.26,1.5,"NNE",16.1,"Light Drizzle","30","10/1/2016","6","0","1",14.4,220.806640070552
"34",34,"2016","10","1","13",57.9,57.9,100,30.24,1,"NNE",15,"Light Rain","20","10/1/2016","6","0","1",14.4,212.625745944238
"35",35,"2016","10","1","14",57,57,100,30.24,1,"NNE",16.1,"Light Rain","20","10/1/2016","6","0","1",13.9,192.324342106557
"36",36,"2016","10","1","15",55.9,55.9,100,30.24,1,"NNE",17.3,"Light Rain","20","10/1/2016","6","0","1",13.3,166.69015231409
"37",37,"2016","10","1","16",55,55,100,30.24,1,"NNE",15,"Light Drizzle","20","10/1/2016","6","0","1",12.8,174.027739893499
"38",38,"2016","10","1","17",55,55,100,30.21,1,"NNE",18.4,"Overcast","20","10/1/2016","6","0","1",12.8,151.362676735966
"39",39,"2016","10","1","18",55.9,55,97,30.22,1,"NNE",15,"Light Rain","20","10/1/2016","6","0","1",13.3,118.47108519993
"40",40,"2016","10","1","18",55.9,55,97,30.21,3,"NNE",16.1,"Overcast","30","10/1/2016","6","0","1",13.3,121.227678408338
"41",41,"2016","10","1","19",55.9,55,97,30.2,2.5,"NNE",16.1,"Light Drizzle","20","10/1/2016","6","0","1",13.3,105.745893023812
"42",42,"2016","10","1","19",55.9,55.9,100,30.2,3,"NE",16.1,"Light Rain","40","10/1/2016","6","0","1",13.3,107.835124829821
"43",43,"2016","10","1","20",55,54,96,30.21,3,"NNE",20.7,"Overcast","30","10/1/2016","6","0","0",12.8,107.264843575851
"44",44,"2016","10","1","21",55,53.1,93,30.2,3,"NNE",16.1,"Overcast","20","10/1/2016","6","0","0",12.8,57.6848693111441
"45",45,"2016","10","1","22",55,54,96,30.18,3,"NNE",16.1,"Overcast","30","10/1/2016","6","0","0",12.8,49.6891534083149
"46",46,"2016","10","1","22",55,55,100,30.18,3,"NNE",16.1,"Overcast","30","10/1/2016","6","0","0",12.8,46.7695003598332
"47",47,"2016","10","1","23",55,55,100,30.18,2.5,"North",11.5,"Light Drizzle","10","10/1/2016","6","0","0",12.8,40.5933219253139
"48",48,"2016","10","2","0",55.9,55,97,30.18,3,"NNE",11.5,"Light Drizzle","20","10/2/2016","0","0","0",13.3,38.6057927400845
"49",49,"2016","10","2","0",55,55,100,30.17,3,"NNW",9.2,"Light Drizzle","340","10/2/2016","0","0","0",12.8,35.3898536522444
"50",50,"2016","10","2","1",54,54,100,30.16,2.5,"North",9.2,"Light Drizzle","350","10/2/2016","0","0","0",12.2,35.9554562004959
"51",51,"2016","10","2","1",54,54,100,30.17,2.5,"NNW",9.2,"Light Rain","330","10/2/2016","0","0","0",12.2,25.5632330245573
"52",52,"2016","10","2","2",53.1,53.1,100,30.15,2.5,"North",10.4,"Light Rain","350","10/2/2016","0","0","0",11.7,37.3061574605514
"53",53,"2016","10","2","3",53.1,53.1,100,30.16,2.5,"NNW",8.1,"Light Rain","340","10/2/2016","0","0","0",11.7,35.6468008073456
"54",54,"2016","10","2","4",54,54,100,30.15,2,"North",8.1,"Light Rain","350","10/2/2016","0","0","0",12.2,47.5013001235599
"55",55,"2016","10","2","4",54,54,100,30.15,2,"North",10.4,"Light Drizzle","10","10/2/2016","0","0","0",12.2,44.6596374019343
"56",56,"2016","10","2","5",53.6,53.6,100,30.14,3,"NNE",13.8,"Light Drizzle","20","10/2/2016","0","0","0",12,52.2595379403132
"57",57,"2016","10","2","5",54,54,100,30.14,3,"NNE",12.7,"Overcast","20","10/2/2016","0","0","0",12.2,56.5197179804323
"58",58,"2016","10","2","6",54,54,100,30.14,3,"NNE",15,"Overcast","20","10/2/2016","0","0","0",12.2,139.855525745376
"59",59,"2016","10","2","6",54,54,100,30.14,3,"NNE",15,"Overcast","20","10/2/2016","0","0","0",12.2,139.855525745376
"60",60,"2016","10","2","7",54,53.1,97,30.15,3,"NNE",12.7,"Overcast","30","10/2/2016","0","0","1",12.2,197.137360344776
"61",61,"2016","10","2","8",54,54,100,30.15,2.5,"NNE",11.5,"Overcast","30","10/2/2016","0","0","1",12.2,209.504884069179
"62",62,"2016","10","2","8",54,54,100,30.15,2,"NE",15,"Overcast","40","10/2/2016","0","0","1",12.2,212.96559923398
"63",63,"2016","10","2","9",55,54,96,30.14,7,"NNE",9.2,"Overcast","30","10/2/2016","0","0","1",12.8,219.239606349121
"64",64,"2016","10","2","10",55.9,54,93,30.13,10,"NNE",11.5,"Overcast","20","10/2/2016","0","0","1",13.3,223.140943496533
"65",65,"2016","10","2","11",55.9,54,93,30.12,10,"NNE",11.5,"Overcast","30","10/2/2016","0","0","1",13.3,220.770971477782
"66",66,"2016","10","2","11",55.9,54,93,30.12,10,"NNE",11.5,"Overcast","30","10/2/2016","0","0","1",13.3,220.770971477782
"67",67,"2016","10","2","12",55.9,54,93,30.11,10,"NNE",6.9,"Overcast","20","10/2/2016","0","0","1",13.3,222.312347091991
"68",68,"2016","10","2","13",55.9,54,93,30.1,10,"North",6.9,"Overcast","360","10/2/2016","0","0","1",13.3,212.479872134459
"69",69,"2016","10","2","13",57,54,89,30.1,10,"NNE",5.8,"Overcast","30","10/2/2016","0","0","1",13.9,216.883944583763
"70",70,"2016","10","2","14",55.9,55,97,30.09,5,"NNE",5.8,"Light Drizzle","20","10/2/2016","0","0","1",13.3,187.255694757116
"71",71,"2016","10","2","14",55.4,53.6,94,30.09,9,"NE",5.8,"Light Drizzle","40","10/2/2016","0","0","1",13,191.800194178569
"72",72,"2016","10","2","14",55.9,54,93,30.08,10,"NE",5.8,"Light Drizzle","40","10/2/2016","0","0","1",13.3,193.477077597293
"73",73,"2016","10","2","15",55.9,54,93,30.08,10,"ENE",6.9,"Overcast","60","10/2/2016","0","0","1",13.3,187.690489460692
"74",74,"2016","10","2","15",57,54,89,30.07,10,"NNE",6.9,"Overcast","30","10/2/2016","0","0","1",13.9,173.768538576757
"75",75,"2016","10","2","16",57,53.1,87,30.07,10,"NNE",3.5,"Overcast","20","10/2/2016","0","0","1",13.9,184.147950127793
"76",76,"2016","10","2","17",55.9,54,93,30.06,10,"ENE",3.5,"Overcast","70","10/2/2016","0","0","1",13.3,177.74953368103
"77",77,"2016","10","2","18",57,54,89,30.06,10,"NNE",3.5,"Overcast","20","10/2/2016","0","0","1",13.9,123.749539525453
"78",78,"2016","10","2","19",55.9,54,93,30.06,10,"Variable",4.6,"Overcast","0","10/2/2016","0","0","1",13.3,103.488885493549
"79",79,"2016","10","2","20",55.9,54,93,30.04,10,"Calm",0,"Overcast","0","10/2/2016","0","0","0",13.3,101.98822250389
"80",80,"2016","10","2","21",55.9,54,93,30.04,10,"Calm",0,"Overcast","0","10/2/2016","0","0","0",13.3,50.1057013415951
"81",81,"2016","10","2","21",55.9,54,93,30.04,10,"Calm",0,"Overcast","0","10/2/2016","0","0","0",13.3,50.1057013415951
"82",82,"2016","10","2","22",55.9,54,93,30.03,10,"Calm",0,"Overcast","0","10/2/2016","0","0","0",13.3,44.2161484888792
"83",83,"2016","10","2","22",57,54,89,30.03,10,"Variable",4.6,"Overcast","0","10/2/2016","0","0","0",13.9,48.3675220688995
"84",84,"2016","10","2","23",55.9,54,93,30.03,10,"SW",6.9,"Overcast","230","10/2/2016","0","0","0",13.3,50.2339344319748
"85",85,"2016","10","2","23",55.9,54,93,30.03,10,"SW",4.6,"Overcast","230","10/2/2016","0","0","0",13.3,50.238774663925
"86",86,"2016","10","3","0",55.9,54,93,30.02,10,"WNW",4.6,"Overcast","290","10/3/2016","1","1","0",13.3,117.64343307993
"87",87,"2016","10","3","0",55.9,54,93,30.01,9,"Variable",5.8,"Overcast","0","10/3/2016","1","1","0",13.3,121.177688493992
"88",88,"2016","10","3","1",55.9,54,93,30,10,"South",6.9,"Overcast","190","10/3/2016","1","1","0",13.3,131.592489428709
"89",89,"2016","10","3","2",55.9,54,93,29.99,10,"WSW",6.9,"Overcast","240","10/3/2016","1","1","0",13.3,117.603041196602
"90",90,"2016","10","3","3",55.9,55,97,29.99,10,"SW",6.9,"Overcast","230","10/3/2016","1","1","0",13.3,128.18087897935
"91",91,"2016","10","3","3",55.9,55,97,29.99,9,"SW",6.9,"Overcast","220","10/3/2016","1","1","0",13.3,119.613481230541
"92",92,"2016","10","3","3",55.9,55,97,29.99,9,"SW",8.1,"Overcast","230","10/3/2016","1","1","0",13.3,128.180970519805
"93",93,"2016","10","3","4",55.9,55,97,29.98,10,"SW",8.1,"Overcast","230","10/3/2016","1","1","0",13.3,137.359681260567
"94",94,"2016","10","3","4",55.9,55,97,29.98,10,"West",8.1,"Overcast","270","10/3/2016","1","1","0",13.3,113.391339709226
"95",95,"2016","10","3","5",57,55,93,29.98,10,"West",10.4,"Overcast","270","10/3/2016","1","1","0",13.9,124.880754245635
"96",96,"2016","10","3","5",57,55,93,29.97,10,"WSW",8.1,"Overcast","250","10/3/2016","1","1","0",13.9,123.331724131779
"97",97,"2016","10","3","6",57,55,93,29.98,10,"WSW",6.9,"Mostly Cloudy","250","10/3/2016","1","1","0",13.9,203.521747266944
"98",98,"2016","10","3","6",57.9,55,90,29.98,10,"WSW",8.1,"Mostly Cloudy","240","10/3/2016","1","1","0",14.4,218.692517690428
"99",99,"2016","10","3","7",57.9,55.9,93,29.99,10,"SW",6.9,"Mostly Cloudy","220","10/3/2016","1","1","1",14.4,277.274578440049
"100",100,"2016","10","3","8",62.1,55.9,80,29.99,10,"WNW",8.1,"Scattered Clouds","300","10/3/2016","1","1","1",16.7,307.260173331773
"101",101,"2016","10","3","9",64,55.9,75,30,10,"Variable",5.8,"Partly Cloudy","0","10/3/2016","1","1","1",17.8,322.010907256038
"102",102,"2016","10","3","10",66,55.9,70,30.01,10,"Variable",4.6,"Partly Cloudy","0","10/3/2016","1","1","1",18.9,327.411558791801
"103",103,"2016","10","3","11",66.9,57.9,73,30.01,10,"East",5.8,"Scattered Clouds","80","10/3/2016","1","1","1",19.4,343.446865288222
"104",104,"2016","10","3","12",66,57,73,30.01,10,"SE",8.1,"Partly Cloudy","130","10/3/2016","1","1","1",18.9,331.872346606055
"105",105,"2016","10","3","13",64.9,57.9,78,30.02,10,"East",9.2,"Partly Cloudy","80","10/3/2016","1","1","1",18.3,327.099375541843
"106",106,"2016","10","3","14",64,55.9,75,30.02,10,"East",9.2,"Mostly Cloudy","80","10/3/2016","1","1","1",17.8,302.305549407361
"107",107,"2016","10","3","15",64,55.9,75,30.02,10,"East",10.4,"Scattered Clouds","90","10/3/2016","1","1","1",17.8,283.742603302595
"108",108,"2016","10","3","16",62.1,57,84,30.05,10,"East",10.4,"Partly Cloudy","90","10/3/2016","1","1","1",16.7,281.994928181615
"109",109,"2016","10","3","17",59,57,93,30.07,10,"East",5.8,"Mostly Cloudy","90","10/3/2016","1","1","1",15,239.835110489984
"110",110,"2016","10","3","18",59,57,93,30.09,10,"ENE",6.9,"Scattered Clouds","60","10/3/2016","1","1","1",15,225.4216310627
"111",111,"2016","10","3","19",59,57.9,96,30.12,10,"East",4.6,"Scattered Clouds","80","10/3/2016","1","1","1",15,204.929996646023
"112",112,"2016","10","3","20",60.1,57.9,93,30.13,10,"East",8.1,"Mostly Cloudy","80","10/3/2016","1","1","0",15.6,197.045215622506
"113",113,"2016","10","3","20",60.1,57.9,93,30.14,10,"East",9.2,"Mostly Cloudy","80","10/3/2016","1","1","0",15.6,196.949549037177
"114",114,"2016","10","3","20",59,57,93,30.15,10,"East",10.4,"Mostly Cloudy","80","10/3/2016","1","1","0",15,195.769294242183
"115",115,"2016","10","3","21",60.1,57,90,30.15,10,"East",10.4,"Mostly Cloudy","90","10/3/2016","1","1","0",15.6,143.472575617272
"116",116,"2016","10","3","22",59,55.9,90,30.18,10,"East",6.9,"Mostly Cloudy","90","10/3/2016","1","1","0",15,135.818557341687
"117",117,"2016","10","3","23",57.9,55.9,93,30.2,10,"NE",6.9,"Scattered Clouds","40","10/3/2016","1","1","0",14.4,134.650416836609
"118",118,"2016","10","3","23",59,57,93,30.2,10,"NE",9.2,"Mostly Cloudy","50","10/3/2016","1","1","0",15,125.125443554383
"119",119,"2016","10","4","0",59,55,87,30.21,10,"NE",10.4,"Mostly Cloudy","50","10/4/2016","2","1","0",15,134.558817944082
"120",120,"2016","10","4","0",59,55,87,30.22,10,"ENE",11.5,"Mostly Cloudy","60","10/4/2016","2","1","0",15,150.965693329588
"121",121,"2016","10","4","1",59,55,87,30.23,10,"ENE",12.7,"Overcast","60","10/4/2016","2","1","0",15,154.10927794635
"122",122,"2016","10","4","2",59,53.1,81,30.24,10,"ENE",15,"Overcast","60","10/4/2016","2","1","0",15,159.338247871128
"123",123,"2016","10","4","3",57.9,54,87,30.25,10,"NNE",11.5,"Overcast","30","10/4/2016","2","1","0",14.4,136.044952564954
"124",124,"2016","10","4","4",57.9,55,90,30.26,10,"North",10.4,"Overcast","10","10/4/2016","2","1","0",14.4,142.788417174206
"125",125,"2016","10","4","4",57.9,55,90,30.26,10,"North",10.4,"Overcast","10","10/4/2016","2","1","0",14.4,142.788417174206
"126",126,"2016","10","4","5",57.9,55,90,30.27,10,"North",8.1,"Mostly Cloudy","360","10/4/2016","2","1","0",14.4,147.188897229197
"127",127,"2016","10","4","6",57.9,55.9,93,30.29,10,"North",9.2,"Overcast","10","10/4/2016","2","1","0",14.4,231.230531218186
"128",128,"2016","10","4","6",59,57,93,30.3,10,"ENE",10.4,"Light Rain","60","10/4/2016","2","1","0",15,248.249627874904
"129",129,"2016","10","4","7",60.1,55.9,86,30.31,10,"ENE",13.8,"Overcast","60","10/4/2016","2","1","1",15.6,312.527884470391
"130",130,"2016","10","4","7",60.1,55,83,30.32,10,"ENE",15,"Overcast","60","10/4/2016","2","1","1",15.6,314.386212380595
"131",131,"2016","10","4","8",61,55,81,30.34,10,"ENE",12.7,"Mostly Cloudy","60","10/4/2016","2","1","1",16.1,327.433362192554
